Year,Speeches,Health (N),Health (Prop)
1970,70,22,0.31
1971,116,38,0.33
1972,125,47,0.38
1973,120,42,0.35
1974,129,45,0.35
1975,126,30,0.24
1976,134,39,0.29
1977,140,59,0.42
1978,141,50,0.35
1979,144,63,0.44
1980,149,65,0.44
1981,145,54,0.37
1982,147,51,0.35
1983,149,52,0.35
1984,150,64,0.43
1985,137,82,0.6
1986,149,65,0.44
1987,152,71,0.47
1988,154,67,0.44
1989,153,70,0.46
1990,156,75,0.48
1991,162,62,0.38
1992,167,70,0.42
1993,175,77,0.44
1994,178,90,0.51
1995,172,91,0.53
1996,181,89,0.49
1997,176,73,0.41
1998,181,73,0.4
1999,181,91,0.5
2000,178,119,0.67
2001,189,112,0.59
2002,188,116,0.62
2003,189,120,0.63
2004,192,126,0.66
2005,185,124,0.67
2006,193,123,0.64
2007,191,103,0.54
2008,192,116,0.6
2009,193,114,0.59
2010,189,107,0.57
2011,194,113,0.58
2012,195,98,0.5
2013,193,127,0.66
2014,194,148,0.76
2015,193,110,0.57
2016,194,109,0.56
2017,196,104,0.53
2018,196,107,0.55
2019,195,117,0.6
2020,193,191,0.99
2021,194,193,0.99
