year,Code,country,Count
2020,MLT,Malta,39
2020,FRA,France,32
2020,MAR,Morocco,32
2020,PLW,Palau,31
2020,UGA,Uganda,30
2020,BTN,Bhutan,29
2020,KNA,Saint Kitts and Nevis,28
2020,NER,Niger,28
2020,HND,Honduras,27
2020,BGD,Bangladesh,26
2020,CUB,Cuba,26
2020,SMR,San Marino,26
2020,BWA,Botswana,24
2020,JAM,Jamaica,23
2020,SLE,Sierra Leone,22
2020,ESP,Spain,21
2020,GBR,United Kingdom,21
2020,MMR,Myanmar,21
2020,VEN,Venezuela,21
2020,BGR,Bulgaria,20
2020,CHL,Chile,20
2020,COD,Democratic Republic of the Congo,20
2020,MUS,Mauritius,20
2020,NRU,Nauru,20
2020,SYC,Seychelles,20
2020,TTO,Trinidad and Tobago,20
2020,URY,Uruguay,20
2020,ATG,Antigua and Barbuda,19
2020,CZE,Czech Republic,19
2020,HRV,Croatia,19
2020,ITA,Italy,19
2020,PHL,Philippines,19
2020,SLB,Solomon Islands,19
2020,TGO,Togo,19
2020,BLZ,Belize,18
2020,GMB,Gambia,18
2020,JPN,Japan,18
2020,TKM,Turkmenistan,18
2020,AND,Andorra,17
2020,CIV,Ivory Coast,17
2020,LIE,Liechtenstein,17
2020,MYS,Malaysia,17
2020,SEN,Senegal,17
2020,THA,Thailand,17
2020,ARG,Argentina,16
2020,BRB,Barbados,16
2020,DMA,Dominica,16
2020,LUX,Luxembourg,16
2020,MDG,Madagascar,16
2020,NOR,Norway,16
2020,KEN,Kenya,15
2020,KOR,South Korea,15
2020,LSO,Lesotho,15
2020,TCD,Chad,15
2020,AUT,Austria,14
2020,CPV,Cape Verde,14
2020,CRI,Costa Rica,14
2020,PAN,Panama,14
2020,PER,Peru,14
2020,SOM,Somalia,14
2020,SRB,Serbia,14
2020,TUR,Turkey,14
2020,TUV,Tuvalu,14
2020,ZAF,South Africa,14
2020,BLR,Belarus,13
2020,COM,Comoros,13
2020,DJI,Djibouti,13
2020,FIN,Finland,13
2020,GIN,Guinea,13
2020,GTM,Guatemala,13
2020,KAZ,Kazakhstan,13
2020,NPL,Nepal,13
2020,WSM,Samoa,13
2020,AGO,Angola,12
2020,AZE,Azerbaijan,12
2020,DOM,Dominican Republic,12
2020,GUY,Guyana,12
2020,LBR,Liberia,12
2020,LCA,Saint Lucia,12
2020,MNE,Montenegro,12
2020,SGP,Singapore,12
