,Sector,intersection,climate,health
0,Alternative Energy,0.0,1.0,1.0
1,Chemicals,5.0,45.0,47.0
2,Construction & Materials,2.0,26.0,85.0
3,Diversified,2.0,17.0,26.0
4,Financial Services,1.0,11.0,58.0
5,General Industrials,10.0,63.0,272.0
6,Health Care Equipment & Ser...,5.0,13.0,25.0
7,Industrial Metals & Mining,71.0,650.0,1786.0
8,Industrial Transportation,8.0,149.0,283.0
9,Media,0.0,0.0,1.0
10,Mining,0.0,0.0,0.0
11,Mobile Telecommunications,2.0,35.0,247.0
12,Nonequity Investment Instru...,3.0,36.0,67.0
13,Oil & Gas Producers,0.0,4.0,1.0
14,"Oil Equipment, Services & D...",3.0,90.0,98.0
15,Software & Computer Services,2.0,15.0,142.0
16,Support Services,2.0,31.0,57.0
17,Travel & Leisure,0.0,1.0,26.0
