,HDI,Year,intersection,climate,health,sum
11,HIGH HUMAN DEVELOPMENT,2011,212.0,2795.0,9730.0,12737.0
12,HIGH HUMAN DEVELOPMENT,2012,187.0,3253.0,13232.0,16672.0
13,HIGH HUMAN DEVELOPMENT,2013,235.0,3821.0,17058.0,21114.0
14,HIGH HUMAN DEVELOPMENT,2014,265.0,3847.0,15315.0,19427.0
15,HIGH HUMAN DEVELOPMENT,2015,190.0,3373.0,13734.0,17297.0
16,HIGH HUMAN DEVELOPMENT,2016,260.0,3646.0,12998.0,16904.0
17,HIGH HUMAN DEVELOPMENT,2017,322.0,3792.0,14205.0,18319.0
18,HIGH HUMAN DEVELOPMENT,2018,308.0,3968.0,14862.0,19138.0
19,HIGH HUMAN DEVELOPMENT,2019,320.0,3973.0,14796.0,19089.0
20,HIGH HUMAN DEVELOPMENT,2020,422.0,4465.0,15043.0,19930.0
21,HIGH HUMAN DEVELOPMENT,2021,1421.0,9814.0,38931.0,50166.0
22,LOW HUMAN DEVELOPMENT,2011,6.0,47.0,165.0,218.0
23,LOW HUMAN DEVELOPMENT,2012,1.0,34.0,132.0,167.0
24,LOW HUMAN DEVELOPMENT,2013,2.0,12.0,165.0,179.0
25,LOW HUMAN DEVELOPMENT,2014,0.0,11.0,150.0,161.0
26,LOW HUMAN DEVELOPMENT,2015,7.0,31.0,219.0,257.0
27,LOW HUMAN DEVELOPMENT,2016,3.0,51.0,165.0,219.0
28,LOW HUMAN DEVELOPMENT,2017,9.0,56.0,174.0,239.0
29,LOW HUMAN DEVELOPMENT,2018,11.0,128.0,422.0,561.0
30,LOW HUMAN DEVELOPMENT,2019,15.0,130.0,484.0,629.0
31,LOW HUMAN DEVELOPMENT,2020,22.0,48.0,189.0,259.0
32,LOW HUMAN DEVELOPMENT,2021,34.0,152.0,819.0,1005.0
33,MEDIUM HUMAN DEVELOPMENT,2011,61.0,675.0,1365.0,2101.0
34,MEDIUM HUMAN DEVELOPMENT,2012,59.0,795.0,2288.0,3142.0
35,MEDIUM HUMAN DEVELOPMENT,2013,61.0,648.0,1906.0,2615.0
36,MEDIUM HUMAN DEVELOPMENT,2014,73.0,605.0,1978.0,2656.0
37,MEDIUM HUMAN DEVELOPMENT,2015,92.0,797.0,2660.0,3549.0
38,MEDIUM HUMAN DEVELOPMENT,2016,95.0,921.0,2840.0,3856.0
39,MEDIUM HUMAN DEVELOPMENT,2017,76.0,727.0,2604.0,3407.0
40,MEDIUM HUMAN DEVELOPMENT,2018,94.0,701.0,2512.0,3307.0
41,MEDIUM HUMAN DEVELOPMENT,2019,84.0,949.0,2597.0,3630.0
42,MEDIUM HUMAN DEVELOPMENT,2020,114.0,687.0,1860.0,2661.0
43,MEDIUM HUMAN DEVELOPMENT,2021,243.0,1625.0,5143.0,7011.0
44,VERY HIGH HUMAN DEVELOPMENT,2011,932.0,16142.0,31745.0,48819.0
45,VERY HIGH HUMAN DEVELOPMENT,2012,935.0,18647.0,38149.0,57731.0
46,VERY HIGH HUMAN DEVELOPMENT,2013,1167.0,18180.0,41426.0,60773.0
47,VERY HIGH HUMAN DEVELOPMENT,2014,1094.0,19096.0,45396.0,65586.0
48,VERY HIGH HUMAN DEVELOPMENT,2015,1159.0,18512.0,46596.0,66267.0
49,VERY HIGH HUMAN DEVELOPMENT,2016,1426.0,20150.0,47114.0,68690.0
50,VERY HIGH HUMAN DEVELOPMENT,2017,1676.0,22771.0,51079.0,75526.0
51,VERY HIGH HUMAN DEVELOPMENT,2018,1660.0,23621.0,55398.0,80679.0
52,VERY HIGH HUMAN DEVELOPMENT,2019,2241.0,31765.0,62648.0,96654.0
53,VERY HIGH HUMAN DEVELOPMENT,2020,3225.0,40035.0,72052.0,115312.0
54,VERY HIGH HUMAN DEVELOPMENT,2021,8512.0,75804.0,163518.0,247834.0
