,WHO,Year,intersection,climate,health,sum,Sector
0,African,2011,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
1,African,2012,1.0,3.0,116.0,120.0,Health Care Equipment & Ser...
2,African,2013,0.0,0.0,87.0,87.0,Health Care Equipment & Ser...
3,African,2014,44.0,24.0,202.0,270.0,Health Care Equipment & Ser...
4,African,2015,12.0,32.0,177.0,221.0,Health Care Equipment & Ser...
5,African,2016,2.0,2.0,54.0,58.0,Health Care Equipment & Ser...
6,African,2017,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
7,African,2018,1.0,8.0,107.0,116.0,Health Care Equipment & Ser...
8,African,2019,3.0,33.0,149.0,185.0,Health Care Equipment & Ser...
9,African,2020,2.0,19.0,68.0,89.0,Health Care Equipment & Ser...
10,African,2021,12.0,22.0,161.0,195.0,Health Care Equipment & Ser...
11,Americas,2011,0.0,5.0,247.0,252.0,Health Care Equipment & Ser...
12,Americas,2012,6.0,50.0,1175.0,1231.0,Health Care Equipment & Ser...
13,Americas,2013,5.0,18.0,1754.0,1777.0,Health Care Equipment & Ser...
14,Americas,2014,2.0,29.0,1025.0,1056.0,Health Care Equipment & Ser...
15,Americas,2015,1.0,21.0,1159.0,1181.0,Health Care Equipment & Ser...
16,Americas,2016,3.0,8.0,686.0,697.0,Health Care Equipment & Ser...
17,Americas,2017,19.0,54.0,1201.0,1274.0,Health Care Equipment & Ser...
18,Americas,2018,34.0,86.0,1687.0,1807.0,Health Care Equipment & Ser...
19,Americas,2019,29.0,79.0,2277.0,2385.0,Health Care Equipment & Ser...
20,Americas,2020,21.0,50.0,1460.0,1531.0,Health Care Equipment & Ser...
21,Americas,2021,79.0,251.0,3732.0,4062.0,Health Care Equipment & Ser...
22,Eastern Mediterranean,2011,0.0,0.0,14.0,14.0,Health Care Equipment & Ser...
23,Eastern Mediterranean,2012,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
24,Eastern Mediterranean,2013,0.0,6.0,195.0,201.0,Health Care Equipment & Ser...
25,Eastern Mediterranean,2014,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
26,Eastern Mediterranean,2015,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
27,Eastern Mediterranean,2020,0.0,0.0,6.0,6.0,Health Care Equipment & Ser...
28,Eastern Mediterranean,2021,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
29,European,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
30,European,2012,3.0,37.0,347.0,387.0,Health Care Equipment & Ser...
31,European,2013,0.0,59.0,750.0,809.0,Health Care Equipment & Ser...
32,European,2014,9.0,79.0,1067.0,1155.0,Health Care Equipment & Ser...
33,European,2015,8.0,110.0,1257.0,1375.0,Health Care Equipment & Ser...
34,European,2016,3.0,113.0,1011.0,1127.0,Health Care Equipment & Ser...
35,European,2017,8.0,161.0,1618.0,1787.0,Health Care Equipment & Ser...
36,European,2018,28.0,180.0,1913.0,2121.0,Health Care Equipment & Ser...
37,European,2019,26.0,216.0,1350.0,1592.0,Health Care Equipment & Ser...
38,European,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
39,European,2021,141.0,657.0,4855.0,5653.0,Health Care Equipment & Ser...
40,South-East Asian,2011,12.0,38.0,165.0,215.0,Health Care Equipment & Ser...
41,South-East Asian,2012,1.0,2.0,126.0,129.0,Health Care Equipment & Ser...
42,South-East Asian,2013,6.0,26.0,84.0,116.0,Health Care Equipment & Ser...
43,South-East Asian,2014,0.0,2.0,118.0,120.0,Health Care Equipment & Ser...
44,South-East Asian,2015,0.0,0.0,172.0,172.0,Health Care Equipment & Ser...
45,South-East Asian,2016,1.0,14.0,103.0,118.0,Health Care Equipment & Ser...
46,South-East Asian,2017,1.0,14.0,103.0,118.0,Health Care Equipment & Ser...
47,South-East Asian,2018,0.0,11.0,47.0,58.0,Health Care Equipment & Ser...
48,South-East Asian,2019,0.0,11.0,62.0,73.0,Health Care Equipment & Ser...
49,South-East Asian,2020,2.0,7.0,10.0,19.0,Health Care Equipment & Ser...
50,South-East Asian,2021,0.0,4.0,114.0,118.0,Health Care Equipment & Ser...
51,Western Pacific,2011,0.0,18.0,198.0,216.0,Health Care Equipment & Ser...
52,Western Pacific,2012,0.0,15.0,114.0,129.0,Health Care Equipment & Ser...
53,Western Pacific,2013,24.0,86.0,433.0,543.0,Health Care Equipment & Ser...
54,Western Pacific,2014,10.0,33.0,336.0,379.0,Health Care Equipment & Ser...
55,Western Pacific,2015,9.0,35.0,334.0,378.0,Health Care Equipment & Ser...
56,Western Pacific,2016,19.0,31.0,340.0,390.0,Health Care Equipment & Ser...
57,Western Pacific,2017,2.0,39.0,276.0,317.0,Health Care Equipment & Ser...
58,Western Pacific,2018,13.0,77.0,608.0,698.0,Health Care Equipment & Ser...
59,Western Pacific,2019,5.0,18.0,487.0,510.0,Health Care Equipment & Ser...
60,Western Pacific,2020,8.0,64.0,570.0,642.0,Health Care Equipment & Ser...
61,Western Pacific,2021,55.0,139.0,1007.0,1201.0,Health Care Equipment & Ser...
