,Sector,intersection,health,climate
0,Aerospace & Defense,2.26,48.77,15.26
1,Alternative Energy,2.13,27.19,16.25
2,Automobiles & Parts,2.35,40.62,28.85
3,Banks,2.1,50.28,25.02
4,Basic Resources,0.0,1.0,1.0
5,Beverages,2.73,59.04,24.86
6,Chemicals,3.68,53.48,23.13
7,Construction & Materials,1.54,34.71,15.1
8,Diversified,1.18,27.23,9.4
9,Electricity,3.59,73.62,40.31
10,Electronic & Electrical Equ...,1.51,27.36,14.4
11,Equity Investment Instruments,2.18,25.82,13.71
12,Financial Services,1.95,34.27,24.04
13,Fixed Line Telecommunications,1.27,37.48,12.82
14,Food & Drug Retailers,3.09,76.47,22.0
15,Food Producers,2.11,45.36,11.09
16,Forestry & Paper,2.62,43.52,22.02
17,"Gas, Water & Multiutilities",2.54,48.15,24.19
18,General Industrials,1.37,28.77,11.32
19,General Retailers,1.38,37.21,15.19
20,Health Care Equipment & Ser...,2.21,76.02,8.25
21,Household Goods & Home Cons...,3.11,76.41,38.48
22,Industrial Engineering,1.54,28.81,13.59
23,Industrial Goods & Services,0.0,15.83,2.33
24,Industrial Metals & Mining,3.64,62.15,28.08
25,Industrial Transportation,2.19,35.21,15.36
26,Leisure Goods,0.78,29.09,18.3
27,Life Insurance,3.66,52.94,20.56
28,Media,0.69,17.85,5.94
29,Mining,5.25,92.53,45.44
30,Mobile Telecommunications,3.04,58.11,23.66
31,Nonequity Investment Instru...,1.33,25.67,14.33
32,Nonlife Insurance,2.45,37.38,10.61
33,Not Applicable,0.0,3.33,0.67
34,Oil & Gas,2.0,15.0,2.0
35,Oil & Gas Producers,3.91,57.3,41.19
36,"Oil Equipment, Services & D...",1.72,31.43,15.09
37,Other,0.0,2.0,3.0
38,Personal Goods,1.3,32.48,12.17
39,Pharmaceuticals & Biotechno...,5.06,95.4,15.18
40,Real Estate,1.0,59.0,11.0
41,Real Estate Investment & Se...,2.29,49.66,23.52
42,Real Estate Investment Trusts,2.65,46.71,36.29
43,Retail,0.0,23.33,2.0
44,Software & Computer Services,0.79,16.29,7.25
45,Support Services,0.72,18.51,6.58
46,Technology Hardware & Equip...,1.41,28.17,14.38
47,Travel & Leisure,1.37,33.98,12.71
