,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.17,1.0,0.0
3,2012,HIGH HUMAN DEVELOPMENT,0.52,0.95,0.1
6,2013,HIGH HUMAN DEVELOPMENT,0.5,0.82,0.04
9,2014,HIGH HUMAN DEVELOPMENT,0.47,0.88,0.0
12,2015,HIGH HUMAN DEVELOPMENT,0.35,0.82,0.06
15,2016,HIGH HUMAN DEVELOPMENT,0.35,0.85,0.2
19,2017,HIGH HUMAN DEVELOPMENT,0.59,0.86,0.23
23,2018,HIGH HUMAN DEVELOPMENT,0.62,0.88,0.29
27,2019,HIGH HUMAN DEVELOPMENT,0.62,0.95,0.29
31,2020,HIGH HUMAN DEVELOPMENT,0.55,0.95,0.25
35,2021,HIGH HUMAN DEVELOPMENT,0.44,0.82,0.24
16,2016,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
20,2017,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
24,2018,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
28,2019,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
32,2020,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
36,2021,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
1,2011,MEDIUM HUMAN DEVELOPMENT,0.2,1.0,0.0
4,2012,MEDIUM HUMAN DEVELOPMENT,0.5,1.0,0.5
7,2013,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
10,2014,MEDIUM HUMAN DEVELOPMENT,0.2,1.0,0.2
13,2015,MEDIUM HUMAN DEVELOPMENT,0.17,1.0,0.17
17,2016,MEDIUM HUMAN DEVELOPMENT,0.25,1.0,0.25
21,2017,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
25,2018,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
29,2019,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
33,2020,MEDIUM HUMAN DEVELOPMENT,0.5,1.0,0.0
37,2021,MEDIUM HUMAN DEVELOPMENT,0.2,1.0,0.2
2,2011,VERY HIGH HUMAN DEVELOPMENT,0.58,0.96,0.04
5,2012,VERY HIGH HUMAN DEVELOPMENT,0.4,0.94,0.09
8,2013,VERY HIGH HUMAN DEVELOPMENT,0.35,0.96,0.06
11,2014,VERY HIGH HUMAN DEVELOPMENT,0.47,0.87,0.09
14,2015,VERY HIGH HUMAN DEVELOPMENT,0.5,0.93,0.11
18,2016,VERY HIGH HUMAN DEVELOPMENT,0.43,0.89,0.11
22,2017,VERY HIGH HUMAN DEVELOPMENT,0.53,0.92,0.15
26,2018,VERY HIGH HUMAN DEVELOPMENT,0.65,0.96,0.25
30,2019,VERY HIGH HUMAN DEVELOPMENT,0.7,0.93,0.31
34,2020,VERY HIGH HUMAN DEVELOPMENT,0.68,0.89,0.35
38,2021,VERY HIGH HUMAN DEVELOPMENT,0.81,0.96,0.43
