,HDI,Year,intersection,climate,health,sum,Sector
0,HIGH HUMAN DEVELOPMENT,2011,0.0,2.0,161.0,163.0,Health Care Equipment & Ser...
1,HIGH HUMAN DEVELOPMENT,2012,5.0,45.0,925.0,975.0,Health Care Equipment & Ser...
2,HIGH HUMAN DEVELOPMENT,2013,5.0,17.0,1375.0,1397.0,Health Care Equipment & Ser...
3,HIGH HUMAN DEVELOPMENT,2014,0.0,14.0,420.0,434.0,Health Care Equipment & Ser...
4,HIGH HUMAN DEVELOPMENT,2015,1.0,26.0,774.0,801.0,Health Care Equipment & Ser...
5,HIGH HUMAN DEVELOPMENT,2016,9.0,24.0,741.0,774.0,Health Care Equipment & Ser...
6,HIGH HUMAN DEVELOPMENT,2017,15.0,33.0,901.0,949.0,Health Care Equipment & Ser...
7,HIGH HUMAN DEVELOPMENT,2018,35.0,87.0,1079.0,1201.0,Health Care Equipment & Ser...
8,HIGH HUMAN DEVELOPMENT,2019,15.0,79.0,1411.0,1505.0,Health Care Equipment & Ser...
9,HIGH HUMAN DEVELOPMENT,2020,16.0,56.0,1261.0,1333.0,Health Care Equipment & Ser...
10,HIGH HUMAN DEVELOPMENT,2021,50.0,125.0,1969.0,2144.0,Health Care Equipment & Ser...
11,LOW HUMAN DEVELOPMENT,2016,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
12,LOW HUMAN DEVELOPMENT,2017,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
13,LOW HUMAN DEVELOPMENT,2018,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
14,LOW HUMAN DEVELOPMENT,2019,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
15,LOW HUMAN DEVELOPMENT,2020,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
16,LOW HUMAN DEVELOPMENT,2021,0.0,0.0,19.0,19.0,Health Care Equipment & Ser...
17,MEDIUM HUMAN DEVELOPMENT,2011,0.0,1.0,67.0,68.0,Health Care Equipment & Ser...
18,MEDIUM HUMAN DEVELOPMENT,2012,1.0,3.0,125.0,129.0,Health Care Equipment & Ser...
19,MEDIUM HUMAN DEVELOPMENT,2013,0.0,0.0,96.0,96.0,Health Care Equipment & Ser...
20,MEDIUM HUMAN DEVELOPMENT,2014,44.0,24.0,206.0,274.0,Health Care Equipment & Ser...
21,MEDIUM HUMAN DEVELOPMENT,2015,12.0,27.0,204.0,243.0,Health Care Equipment & Ser...
22,MEDIUM HUMAN DEVELOPMENT,2016,2.0,2.0,77.0,81.0,Health Care Equipment & Ser...
23,MEDIUM HUMAN DEVELOPMENT,2017,0.0,0.0,46.0,46.0,Health Care Equipment & Ser...
24,MEDIUM HUMAN DEVELOPMENT,2018,0.0,0.0,118.0,118.0,Health Care Equipment & Ser...
25,MEDIUM HUMAN DEVELOPMENT,2019,0.0,0.0,140.0,140.0,Health Care Equipment & Ser...
26,MEDIUM HUMAN DEVELOPMENT,2020,0.0,1.0,17.0,18.0,Health Care Equipment & Ser...
27,MEDIUM HUMAN DEVELOPMENT,2021,10.0,5.0,195.0,210.0,Health Care Equipment & Ser...
28,VERY HIGH HUMAN DEVELOPMENT,2011,12.0,77.0,648.0,737.0,Health Care Equipment & Ser...
29,VERY HIGH HUMAN DEVELOPMENT,2012,5.0,59.0,837.0,901.0,Health Care Equipment & Ser...
30,VERY HIGH HUMAN DEVELOPMENT,2013,30.0,178.0,1832.0,2040.0,Health Care Equipment & Ser...
31,VERY HIGH HUMAN DEVELOPMENT,2014,21.0,129.0,2124.0,2274.0,Health Care Equipment & Ser...
32,VERY HIGH HUMAN DEVELOPMENT,2015,17.0,145.0,2124.0,2286.0,Health Care Equipment & Ser...
33,VERY HIGH HUMAN DEVELOPMENT,2016,17.0,142.0,1363.0,1522.0,Health Care Equipment & Ser...
34,VERY HIGH HUMAN DEVELOPMENT,2017,15.0,235.0,2258.0,2508.0,Health Care Equipment & Ser...
35,VERY HIGH HUMAN DEVELOPMENT,2018,41.0,275.0,3162.0,3478.0,Health Care Equipment & Ser...
36,VERY HIGH HUMAN DEVELOPMENT,2019,48.0,278.0,2765.0,3091.0,Health Care Equipment & Ser...
37,VERY HIGH HUMAN DEVELOPMENT,2020,75.0,345.0,2858.0,3278.0,Health Care Equipment & Ser...
38,VERY HIGH HUMAN DEVELOPMENT,2021,227.0,943.0,7699.0,8869.0,Health Care Equipment & Ser...
