Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,2036,1306,1697,391,0.64,0.83,0.19
2012,2991,1741,2414,449,0.58,0.81,0.15
2013,3207,1834,2601,474,0.57,0.81,0.15
2014,3162,1799,2578,471,0.57,0.82,0.15
2015,3454,1986,2836,539,0.57,0.82,0.16
2016,3554,2012,2918,566,0.57,0.82,0.16
2017,3711,2164,3074,648,0.58,0.83,0.17
2018,3741,2219,3111,716,0.59,0.83,0.19
2019,4041,2524,3438,838,0.62,0.85,0.21
2020,3542,2487,3098,1038,0.7,0.87,0.29
2021,5720,4108,5086,2146,0.72,0.89,0.38
