,Year,intersection,health,climate
0,2011,0.1935483870967742,18.451612903225808,9.225806451612904
1,2012,0.775,30.875,12.125
2,2013,0.475,16.625,7.8
3,2014,0.8333333333333334,18.666666666666668,5.214285714285714
4,2015,0.5,17.238095238095237,7.166666666666667
5,2016,1.0277777777777777,17.694444444444443,6.277777777777778
6,2017,0.49056603773584906,14.132075471698114,8.150943396226415
7,2018,0.4166666666666667,17.666666666666668,7.1
8,2019,0.49382716049382713,21.617283950617285,9.296296296296296
9,2020,0.6707317073170732,23.28048780487805,11.634146341463415
10,2021,1.4846153846153847,41.215384615384615,15.076923076923077
11,2022,1.4166666666666667,39.25,18.262820512820515
