,Sector,intersection,health,climate
0,Alternative Energy,0.0,2.0,16.0
1,Banks,7.0,57.0,50.0
2,Beverages,7.0,172.0,131.0
3,Chemicals,7.71,48.57,28.14
4,Construction & Materials,0.0,0.0,0.0
5,Diversified,4.0,23.5,35.75
6,Electronic & Electrical Equ...,1.25,27.12,15.5
7,Financial Services,8.0,64.6,73.6
8,Fixed Line Telecommunications,1.0,4.5,3.5
9,Food Producers,11.5,70.0,35.0
10,General Industrials,0.0,2.5,2.5
11,General Retailers,0.0,2.0,0.5
12,Health Care Equipment & Ser...,0.6,47.6,15.8
13,Household Goods & Home Cons...,3.0,69.0,27.0
14,Industrial Engineering,1.0,15.0,11.0
15,Industrial Metals & Mining,0.67,19.33,4.0
16,Industrial Transportation,9.5,80.5,44.0
17,Life Insurance,4.5,63.5,34.0
18,Nonlife Insurance,0.0,9.0,6.0
19,Oil & Gas Producers,0.0,4.0,3.0
20,Personal Goods,0.0,41.5,2.0
21,Pharmaceuticals & Biotechno...,9.0,128.0,21.5
22,Real Estate Investment & Se...,0.0,10.0,7.0
23,Software & Computer Services,4.6,50.0,44.6
24,Support Services,1.11,21.44,14.78
25,Technology Hardware & Equip...,0.0,10.0,3.0
26,Travel & Leisure,1.0,18.0,3.0
