Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,97,59,87,17,0.61,0.9,0.18
2012,132,76,109,19,0.58,0.83,0.14
2013,154,80,130,17,0.52,0.84,0.11
2014,158,84,126,19,0.53,0.8,0.12
2015,182,96,152,22,0.53,0.84,0.12
2016,187,88,157,24,0.47,0.84,0.13
2017,195,98,168,26,0.5,0.86,0.13
2018,198,107,180,32,0.54,0.91,0.16
2019,227,137,206,44,0.6,0.91,0.19
2020,222,155,196,60,0.7,0.88,0.27
2021,287,222,272,102,0.77,0.95,0.36
2022,287,232,265,103,0.81,0.92,0.36
