,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,5.0,34.0,143.0,182.0
1,Very High,2012,0.0,20.0,91.0,111.0
2,Very High,2013,6.0,36.0,143.0,185.0
3,Very High,2014,5.0,36.0,410.0,451.0
4,Very High,2015,4.0,53.0,111.0,168.0
5,Very High,2016,3.0,78.0,130.0,211.0
6,Very High,2017,4.0,96.0,164.0,264.0
7,Very High,2018,6.0,64.0,164.0,234.0
8,Very High,2019,7.0,49.0,159.0,215.0
9,Very High,2020,11.0,98.0,236.0,345.0
10,Very High,2021,29.0,279.0,820.0,1128.0
11,Very High,2022,36.0,344.0,651.0,1031.0
