,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,12.0,37.0
1,Banks,0.0,7.0,66.0
2,Beverages,6.0,6.0,35.0
3,Chemicals,0.0,4.0,29.0
4,Construction & Materials,1.0,1.0,13.0
5,Electronic & Electrical Equ...,8.0,14.0,176.0
6,Financial Services,0.0,7.0,60.0
7,Fixed Line Telecommunications,0.0,1.0,20.0
8,Food Producers,8.0,5.0,100.0
9,Forestry & Paper,0.0,28.0,50.0
10,General Industrials,6.0,10.0,33.0
11,General Retailers,8.0,33.0,104.0
12,Health Care Equipment & Ser...,0.0,1.0,290.0
13,Industrial Engineering,0.0,3.0,33.0
14,Life Insurance,3.0,1.0,12.0
15,Media,0.0,2.0,6.0
16,Mobile Telecommunications,0.0,0.0,2.0
17,Nonlife Insurance,9.0,14.0,71.0
18,Not Applicable,0.0,0.0,0.0
19,Oil & Gas Producers,0.0,0.0,0.0
20,"Oil Equipment, Services & D...",6.0,9.0,66.0
21,Personal Goods,0.0,7.0,21.0
22,Pharmaceuticals & Biotechno...,31.0,59.0,245.0
23,Real Estate Investment & Se...,6.0,26.0,185.0
24,Real Estate Investment Trusts,0.0,0.0,0.0
25,Software & Computer Services,2.0,42.0,115.0
26,Support Services,9.0,26.0,103.0
27,Technology Hardware & Equip...,0.0,0.0,1.0
28,Travel & Leisure,2.0,48.0,180.0
