,Year,intersection,health,climate
0,2012,0.0,2.0,0.0
1,2013,0.0,3.3076923076923075,0.5384615384615384
2,2014,0.0,3.142857142857143,0.5714285714285714
3,2015,0.18518518518518517,3.2962962962962963,1.1851851851851851
4,2016,0.26666666666666666,4.9,1.3666666666666667
5,2017,0.47368421052631576,7.421052631578948,1.2894736842105263
6,2018,0.325,7.6,1.225
7,2019,0.14285714285714285,6.457142857142857,0.8285714285714286
8,2020,0.3333333333333333,6.757575757575758,1.4545454545454546
9,2021,0.7027027027027027,11.891891891891891,1.2702702702702702
10,2022,0.6129032258064516,7.451612903225806,1.6774193548387097
