,Sector,intersection,health,climate
0,Automobiles & Parts,0.0,11.0,0.0
1,Banks,4.5,70.0,76.5
2,Beverages,0.0,0.0,0.0
3,Chemicals,20.25,303.75,76.75
4,Construction & Materials,0.0,9.0,4.0
5,Diversified,2.74,31.0,24.52
6,Electricity,2.5,11.5,23.5
7,Electronic & Electrical Equ...,0.0,16.0,16.0
8,Equity Investment Instruments,2.0,15.0,4.0
9,Financial Services,7.5,58.5,44.12
10,Fixed Line Telecommunications,1.0,107.0,56.0
11,Food & Drug Retailers,12.0,165.5,148.0
12,Food Producers,4.0,27.33,11.0
13,Forestry & Paper,0.0,2.0,0.0
14,General Industrials,3.33,33.83,20.17
15,General Retailers,0.0,0.5,2.0
16,Health Care Equipment & Ser...,0.0,12.0,0.0
17,Household Goods & Home Cons...,3.0,26.0,20.5
18,Industrial Metals & Mining,1.0,39.0,30.0
19,Industrial Transportation,0.0,5.5,4.0
20,Leisure Goods,0.0,4.0,1.0
21,Life Insurance,4.5,99.5,116.5
22,Media,0.5,11.5,19.5
23,"Oil Equipment, Services & D...",2.0,43.0,3.0
24,Personal Goods,1.0,21.5,14.5
25,Pharmaceuticals & Biotechno...,0.0,7.0,0.0
26,Real Estate Investment & Se...,0.0,7.0,4.0
27,Real Estate Investment Trusts,0.0,0.0,0.0
28,Software & Computer Services,1.0,39.0,4.75
29,Support Services,1.29,13.71,7.14
30,Technology Hardware & Equip...,0.0,0.0,0.0
