,Sector,intersection,health,climate
0,Banks,2.0,42.0,51.0
1,Chemicals,16.0,314.25,59.5
2,Diversified,2.21,33.43,12.93
3,Electricity,2.5,26.5,24.0
4,Electronic & Electrical Equ...,1.0,10.0,6.0
5,Equity Investment Instruments,0.0,0.0,0.0
6,Financial Services,1.12,21.5,21.38
7,Food & Drug Retailers,5.0,165.5,57.5
8,Food Producers,4.0,31.0,15.0
9,Forestry & Paper,0.0,3.0,0.0
10,"Gas, Water & Multiutilities",1.0,25.0,15.0
11,General Industrials,2.83,36.0,9.0
12,General Retailers,0.0,0.0,1.0
13,Health Care Equipment & Ser...,0.0,10.0,0.0
14,Household Goods & Home Cons...,5.0,35.0,26.0
15,Industrial Transportation,0.0,4.0,1.0
16,Life Insurance,0.0,1.0,4.5
17,Media,1.0,7.5,13.5
18,Mobile Telecommunications,0.0,2.0,1.0
19,Personal Goods,3.5,25.0,16.5
20,Pharmaceuticals & Biotechno...,0.33,17.67,0.67
21,Real Estate Investment Trusts,7.0,22.0,37.0
22,Software & Computer Services,0.67,58.67,3.0
23,Support Services,0.38,11.38,3.0
24,Technology Hardware & Equip...,0.0,0.0,0.0
