,Year,intersection,health,climate
0,2011,0.7931034482758621,26.310344827586206,15.206896551724139
1,2012,1.9090909090909092,30.848484848484848,14.030303030303031
2,2013,1.0454545454545454,28.772727272727273,10.227272727272727
3,2014,0.9074074074074074,26.944444444444443,10.018518518518519
4,2015,1.0851063829787233,24.19148936170213,10.829787234042554
5,2016,1.3076923076923077,24.115384615384617,10.115384615384615
6,2017,1.037037037037037,21.962962962962962,7.518518518518518
7,2018,1.1538461538461537,21.846153846153847,8.615384615384615
8,2019,1.5076923076923077,25.4,8.676923076923076
9,2020,1.5471698113207548,30.358490566037737,8.90566037735849
10,2021,2.539473684210526,43.26315789473684,16.43421052631579
11,2022,3.511111111111111,45.01111111111111,27.355555555555554
