,Year,intersection,health,climate
0,2011,0.4117647058823529,23.0,21.235294117647058
1,2012,0.9545454545454546,33.40909090909091,34.68181818181818
2,2013,0.7,24.7,22.45
3,2014,0.5862068965517241,23.75862068965517,21.103448275862068
4,2015,0.5806451612903226,22.387096774193548,19.258064516129032
5,2016,0.6875,21.625,20.9375
6,2017,0.3888888888888889,26.13888888888889,21.555555555555557
7,2018,0.8888888888888888,25.622222222222224,21.244444444444444
8,2019,1.125,25.083333333333332,24.458333333333332
9,2020,1.0,25.511627906976745,35.86046511627907
10,2021,3.044776119402985,50.17910447761194,29.955223880597014
11,2022,2.2195121951219514,45.81707317073171,38.109756097560975
