,Sector,intersection,health,climate
0,Automobiles & Parts,0.0,13.0,4.0
1,Banks,0.0,4.0,1.67
2,Beverages,2.0,8.5,2.0
3,Construction & Materials,1.0,7.0,1.0
4,Electronic & Electrical Equ...,0.0,15.5,0.5
5,Financial Services,0.0,24.0,0.0
6,Food Producers,0.0,3.0,0.0
7,General Industrials,2.0,8.5,2.0
8,General Retailers,0.0,15.0,7.0
9,Industrial Engineering,0.0,0.0,0.0
10,Life Insurance,3.0,11.0,1.0
11,Media,0.0,1.0,0.0
12,Nonlife Insurance,0.0,0.0,0.0
13,"Oil Equipment, Services & D...",2.0,14.0,1.0
14,Pharmaceuticals & Biotechno...,0.0,5.0,1.5
15,Real Estate Investment & Se...,0.0,2.0,0.0
16,Software & Computer Services,0.0,11.0,2.5
17,Support Services,1.0,5.6,3.0
18,Travel & Leisure,0.0,2.0,1.0
