,Year,intersection,health,climate
0,2011,1.2222222222222223,54.77777777777778,15.722222222222221
1,2012,1.0952380952380953,27.38095238095238,10.80952380952381
2,2013,0.5,38.45454545454545,9.909090909090908
3,2014,0.391304347826087,29.782608695652176,8.434782608695652
4,2015,0.35714285714285715,38.607142857142854,8.25
5,2016,0.2962962962962963,28.40740740740741,7.444444444444445
6,2017,0.65625,23.875,7.59375
7,2018,0.7666666666666667,34.96666666666667,14.066666666666666
8,2019,1.3617021276595744,34.744680851063826,15.936170212765957
9,2020,2.810810810810811,50.5945945945946,34.75675675675676
10,2021,4.285714285714286,124.33928571428571,38.339285714285715
11,2022,5.867924528301887,90.60377358490567,55.60377358490566
