,Year,intersection,health,climate
0,2011,0.0,5.7,9.2
1,2012,0.21052631578947367,6.421052631578948,8.578947368421053
2,2013,0.06666666666666667,8.933333333333334,9.066666666666666
3,2014,0.15789473684210525,8.789473684210526,5.947368421052632
4,2015,0.4,9.95,6.2
5,2016,0.4,9.55,6.5
6,2017,0.42857142857142855,7.333333333333333,5.666666666666667
7,2018,0.6818181818181818,14.181818181818182,7.409090909090909
8,2019,0.96,13.68,6.64
9,2020,1.0909090909090908,16.363636363636363,7.0
10,2021,1.4705882352941178,34.588235294117645,10.676470588235293
11,2022,2.9705882352941178,58.94117647058823,23.176470588235293
