,Sector,intersection,health,climate
0,Aerospace & Defense,1.0,52.0,11.0
1,Automobiles & Parts,2.0,61.0,41.0
2,Banks,4.0,33.0,108.0
3,Construction & Materials,0.0,2.0,13.5
4,Diversified,0.67,8.33,4.0
5,Electricity,1.0,70.5,43.0
6,Electronic & Electrical Equ...,1.0,26.0,5.0
7,Financial Services,0.67,29.0,21.33
8,Food Producers,12.0,40.0,65.5
9,Forestry & Paper,6.25,56.75,62.25
10,General Industrials,5.71,81.57,44.57
11,General Retailers,1.67,74.0,21.0
12,Health Care Equipment & Ser...,6.5,99.5,9.75
13,Household Goods & Home Cons...,3.0,41.5,25.0
14,Industrial Engineering,0.5,11.5,3.0
15,Industrial Metals & Mining,0.0,3.0,34.0
16,Industrial Transportation,2.0,48.0,24.0
17,Leisure Goods,3.0,119.0,30.0
18,Media,4.5,17.5,23.0
19,Mobile Telecommunications,3.5,42.0,33.0
20,Nonlife Insurance,4.0,200.0,85.0
21,Oil & Gas Producers,8.5,91.5,119.5
22,Personal Goods,3.0,21.0,20.0
23,Pharmaceuticals & Biotechno...,0.0,44.0,0.0
24,Real Estate Investment & Se...,1.0,30.33,23.0
25,Software & Computer Services,0.0,3.5,6.0
26,Support Services,1.88,41.0,19.88
27,Technology Hardware & Equip...,0.0,55.0,6.33
28,Travel & Leisure,0.0,1.0,0.0
