,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,7.0,361.0,391.0,759.0
1,Very High,2012,21.0,763.0,735.0,1519.0
2,Very High,2013,14.0,449.0,494.0,957.0
3,Very High,2014,17.0,612.0,689.0,1318.0
4,Very High,2015,18.0,597.0,694.0,1309.0
5,Very High,2016,22.0,670.0,692.0,1384.0
6,Very High,2017,14.0,776.0,941.0,1731.0
7,Very High,2018,40.0,956.0,1153.0,2149.0
8,Very High,2019,54.0,1174.0,1204.0,2432.0
9,Very High,2020,43.0,1542.0,1097.0,2682.0
10,Very High,2021,204.0,2007.0,3362.0,5573.0
11,Very High,2022,182.0,3125.0,3757.0,7064.0
