,Year,intersection,health,climate
0,2011,0.25,18.125,5.75
1,2012,1.5,34.0,31.5
2,2013,0.6363636363636364,26.181818181818183,22.818181818181817
3,2014,0.6363636363636364,22.454545454545453,12.181818181818182
4,2015,0.9090909090909091,23.727272727272727,19.09090909090909
5,2016,1.2857142857142858,27.928571428571427,26.857142857142858
6,2017,2.8333333333333335,33.5,14.583333333333334
7,2018,1.1428571428571428,26.214285714285715,15.5
8,2019,2.4615384615384617,25.923076923076923,18.53846153846154
9,2020,3.4615384615384617,37.23076923076923,21.384615384615383
10,2021,5.0,65.33333333333333,38.333333333333336
11,2022,4.722222222222222,49.111111111111114,62.166666666666664
