,Year,intersection
0,2011,0.0
1,2012,0.0
2,2013,1.0
3,2014,3.0
4,2015,0.0
5,2016,0.0
6,2017,0.0
7,2018,6.0
8,2019,3.0
9,2020,6.0
10,2021,13.0
11,2022,26.0
