,Sector,Climate,Health,Intersection,Year
0,Automobiles & Parts,0.0,0.0,0.0,2021
1,Banks,0.19,0.88,0.0,2021
2,Beverages,0.4,1.0,0.2,2021
3,Chemicals,0.12,1.0,0.0,2021
4,Construction & Materials,0.6,0.4,0.0,2021
5,Diversified,0.56,0.78,0.28,2021
6,Electricity,1.0,1.0,0.25,2021
7,Financial Services,0.44,0.87,0.1,2021
8,Fixed Line Telecommunications,1.0,1.0,0.0,2021
9,Food & Drug Retailers,0.73,0.91,0.0,2021
10,Food Producers,0.37,0.95,0.0,2021
11,Forestry & Paper,0.67,1.0,0.0,2021
12,General Industrials,0.17,0.83,0.0,2021
13,General Retailers,0.75,0.75,0.5,2021
14,Industrial Engineering,0.0,0.89,0.0,2021
15,Life Insurance,0.67,1.0,0.17,2021
16,Media,0.0,1.0,0.0,2021
17,Mobile Telecommunications,0.86,1.0,0.29,2021
18,Nonlife Insurance,0.56,0.78,0.22,2021
19,Not Applicable,0.4,0.7,0.0,2021
20,"Oil Equipment, Services & D...",0.0,1.0,0.0,2021
21,Personal Goods,0.5,0.88,0.12,2021
22,Support Services,0.27,0.81,0.0,2021
23,Technology Hardware & Equip...,0.0,0.0,0.0,2021
