,Sector,intersection,health,climate
0,Automobiles & Parts,0.0,0.0,0.0
1,Banks,0.0,10.0,4.0
2,Beverages,5.5,96.5,29.5
3,Construction & Materials,0.0,0.0,0.0
4,Diversified,0.83,31.5,9.33
5,Financial Services,0.75,39.75,6.25
6,Food & Drug Retailers,0.0,0.0,0.0
7,Food Producers,0.0,23.5,1.5
8,General Industrials,0.0,0.0,0.0
9,General Retailers,4.0,51.0,6.0
10,Industrial Engineering,0.0,5.0,0.0
11,Life Insurance,0.0,25.0,0.0
12,Mobile Telecommunications,3.0,102.0,37.0
13,Nonlife Insurance,0.0,7.0,0.0
14,Personal Goods,0.0,4.0,1.0
15,Support Services,0.0,7.75,0.5
