,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,0.0,0.0
1,Banks,0.0,8.0,83.0
2,Beverages,11.0,59.0,213.0
3,Chemicals,0.0,1.0,105.0
4,Construction & Materials,0.0,12.0,18.0
5,Diversified,17.0,131.0,356.0
6,Electricity,1.0,48.0,336.0
7,Financial Services,11.0,109.0,675.0
8,Fixed Line Telecommunications,0.0,1.0,1.0
9,Food & Drug Retailers,0.0,18.0,445.0
10,Food Producers,0.0,38.0,543.0
11,Forestry & Paper,0.0,5.0,54.0
12,General Industrials,0.0,4.0,90.0
13,General Retailers,6.0,18.0,150.0
14,Industrial Engineering,0.0,0.0,67.0
15,Life Insurance,1.0,7.0,66.0
16,Media,0.0,0.0,2.0
17,Mobile Telecommunications,4.0,55.0,196.0
18,Nonlife Insurance,6.0,12.0,111.0
19,Not Applicable,0.0,16.0,16.0
20,"Oil Equipment, Services & D...",0.0,0.0,16.0
21,Personal Goods,1.0,8.0,61.0
22,Support Services,0.0,18.0,202.0
23,Technology Hardware & Equip...,0.0,0.0,0.0
