1,Norway,957,VERY HIGH HUMAN DEVELOPMENT
2,Ireland,955,VERY HIGH HUMAN DEVELOPMENT
2,Switzerland,955,VERY HIGH HUMAN DEVELOPMENT
4,"Hong Kong, China (SAR)",949,VERY HIGH HUMAN DEVELOPMENT
4,Iceland,949,VERY HIGH HUMAN DEVELOPMENT
6,Germany,947,VERY HIGH HUMAN DEVELOPMENT
7,Sweden,945,VERY HIGH HUMAN DEVELOPMENT
8,Australia,944,VERY HIGH HUMAN DEVELOPMENT
8,Netherlands,944,VERY HIGH HUMAN DEVELOPMENT
10,Denmark,940,VERY HIGH HUMAN DEVELOPMENT
11,Finland,938,VERY HIGH HUMAN DEVELOPMENT
11,Singapore,938,VERY HIGH HUMAN DEVELOPMENT
13,United Kingdom,932,VERY HIGH HUMAN DEVELOPMENT
14,Belgium,931,VERY HIGH HUMAN DEVELOPMENT
14,New Zealand,931,VERY HIGH HUMAN DEVELOPMENT
16,Canada,929,VERY HIGH HUMAN DEVELOPMENT
17,United States,926,VERY HIGH HUMAN DEVELOPMENT
18,Austria,922,VERY HIGH HUMAN DEVELOPMENT
19,Israel,919,VERY HIGH HUMAN DEVELOPMENT
19,Japan,919,VERY HIGH HUMAN DEVELOPMENT
19,Liechtenstein,919,VERY HIGH HUMAN DEVELOPMENT
22,Slovenia,917,VERY HIGH HUMAN DEVELOPMENT
23,Korea (Republic of),916,VERY HIGH HUMAN DEVELOPMENT
23,Luxembourg,916,VERY HIGH HUMAN DEVELOPMENT
25,Spain,904,VERY HIGH HUMAN DEVELOPMENT
26,France,901,VERY HIGH HUMAN DEVELOPMENT
27,Czechia,900,VERY HIGH HUMAN DEVELOPMENT
28,Malta,895,VERY HIGH HUMAN DEVELOPMENT
29,Estonia,892,VERY HIGH HUMAN DEVELOPMENT
29,Italy,892,VERY HIGH HUMAN DEVELOPMENT
31,United Arab Emirates,890,VERY HIGH HUMAN DEVELOPMENT
32,Greece,888,VERY HIGH HUMAN DEVELOPMENT
33,Cyprus,887,VERY HIGH HUMAN DEVELOPMENT
34,Lithuania,882,VERY HIGH HUMAN DEVELOPMENT
35,Poland,880,VERY HIGH HUMAN DEVELOPMENT
36,Andorra,868,VERY HIGH HUMAN DEVELOPMENT
37,Latvia,866,VERY HIGH HUMAN DEVELOPMENT
38,Portugal,864,VERY HIGH HUMAN DEVELOPMENT
39,Slovakia,860,VERY HIGH HUMAN DEVELOPMENT
40,Hungary,854,VERY HIGH HUMAN DEVELOPMENT
40,Saudi Arabia,854,VERY HIGH HUMAN DEVELOPMENT
42,Bahrain,852,VERY HIGH HUMAN DEVELOPMENT
43,Chile,851,VERY HIGH HUMAN DEVELOPMENT
43,Croatia,851,VERY HIGH HUMAN DEVELOPMENT
45,Qatar,848,VERY HIGH HUMAN DEVELOPMENT
46,Argentina,845,VERY HIGH HUMAN DEVELOPMENT
47,Brunei Darussalam,838,VERY HIGH HUMAN DEVELOPMENT
48,Montenegro,829,VERY HIGH HUMAN DEVELOPMENT
49,Romania,828,VERY HIGH HUMAN DEVELOPMENT
50,Palau,826,VERY HIGH HUMAN DEVELOPMENT
51,Kazakhstan,825,VERY HIGH HUMAN DEVELOPMENT
52,Russian Federation,824,VERY HIGH HUMAN DEVELOPMENT
53,Belarus,823,VERY HIGH HUMAN DEVELOPMENT
54,Turkey,820,VERY HIGH HUMAN DEVELOPMENT
55,Uruguay,817,VERY HIGH HUMAN DEVELOPMENT
56,Bulgaria,816,VERY HIGH HUMAN DEVELOPMENT
57,Panama,815,VERY HIGH HUMAN DEVELOPMENT
58,Bahamas,814,VERY HIGH HUMAN DEVELOPMENT
58,Barbados,814,VERY HIGH HUMAN DEVELOPMENT
60,Oman,813,VERY HIGH HUMAN DEVELOPMENT
61,Georgia,812,VERY HIGH HUMAN DEVELOPMENT
62,Costa Rica,810,VERY HIGH HUMAN DEVELOPMENT
62,Malaysia,810,VERY HIGH HUMAN DEVELOPMENT
64,Kuwait,806,VERY HIGH HUMAN DEVELOPMENT
64,Serbia,806,VERY HIGH HUMAN DEVELOPMENT
66,Mauritius,804,VERY HIGH HUMAN DEVELOPMENT
67,Seychelles,796,HIGH HUMAN DEVELOPMENT
67,Trinidad and Tobago,796,HIGH HUMAN DEVELOPMENT
69,Albania,795,HIGH HUMAN DEVELOPMENT
70,Cuba,783,HIGH HUMAN DEVELOPMENT
70,Iran (Islamic Republic of),783,HIGH HUMAN DEVELOPMENT
72,Sri Lanka,782,HIGH HUMAN DEVELOPMENT
73,Bosnia and Herzegovina,780,HIGH HUMAN DEVELOPMENT
74,Grenada,779,HIGH HUMAN DEVELOPMENT
74,Mexico,779,HIGH HUMAN DEVELOPMENT
74,Saint Kitts and Nevis,779,HIGH HUMAN DEVELOPMENT
74,Ukraine,779,HIGH HUMAN DEVELOPMENT
78,Antigua and Barbuda,778,HIGH HUMAN DEVELOPMENT
79,Peru,777,HIGH HUMAN DEVELOPMENT
79,Thailand,777,HIGH HUMAN DEVELOPMENT
81,Armenia,776,HIGH HUMAN DEVELOPMENT
82,North Macedonia,774,HIGH HUMAN DEVELOPMENT
83,Colombia,767,HIGH HUMAN DEVELOPMENT
84,Brazil,765,HIGH HUMAN DEVELOPMENT
85,China,761,HIGH HUMAN DEVELOPMENT
86,Ecuador,759,HIGH HUMAN DEVELOPMENT
86,Saint Lucia,759,HIGH HUMAN DEVELOPMENT
88,Azerbaijan,756,HIGH HUMAN DEVELOPMENT
88,Dominican Republic,756,HIGH HUMAN DEVELOPMENT
90,Moldova (Republic of),750,HIGH HUMAN DEVELOPMENT
91,Algeria,748,HIGH HUMAN DEVELOPMENT
92,Lebanon,744,HIGH HUMAN DEVELOPMENT
93,Fiji,743,HIGH HUMAN DEVELOPMENT
94,Dominica,742,HIGH HUMAN DEVELOPMENT
95,Maldives,740,HIGH HUMAN DEVELOPMENT
95,Tunisia,740,HIGH HUMAN DEVELOPMENT
97,Saint Vincent and the Grenadines,738,HIGH HUMAN DEVELOPMENT
97,Suriname,738,HIGH HUMAN DEVELOPMENT
99,Mongolia,737,HIGH HUMAN DEVELOPMENT
100,Botswana,735,HIGH HUMAN DEVELOPMENT
101,Jamaica,734,HIGH HUMAN DEVELOPMENT
102,Jordan,729,HIGH HUMAN DEVELOPMENT
103,Paraguay,728,HIGH HUMAN DEVELOPMENT
104,Tonga,725,HIGH HUMAN DEVELOPMENT
105,Libya,724,HIGH HUMAN DEVELOPMENT
106,Uzbekistan,720,HIGH HUMAN DEVELOPMENT
107,Bolivia (Plurinational State of),718,HIGH HUMAN DEVELOPMENT
107,Indonesia,718,HIGH HUMAN DEVELOPMENT
107,Philippines,718,HIGH HUMAN DEVELOPMENT
110,Belize,716,HIGH HUMAN DEVELOPMENT
111,Samoa,715,HIGH HUMAN DEVELOPMENT
111,Turkmenistan,715,HIGH HUMAN DEVELOPMENT
113,Venezuela (Bolivarian Republic of),711,HIGH HUMAN DEVELOPMENT
114,South Africa,709,HIGH HUMAN DEVELOPMENT
115,"Palestine, State of",708,HIGH HUMAN DEVELOPMENT
116,Egypt,707,HIGH HUMAN DEVELOPMENT
117,Marshall Islands,704,HIGH HUMAN DEVELOPMENT
117,Viet Nam,704,HIGH HUMAN DEVELOPMENT
119,Gabon,703,HIGH HUMAN DEVELOPMENT
120,Kyrgyzstan,697,MEDIUM HUMAN DEVELOPMENT
121,Morocco,686,MEDIUM HUMAN DEVELOPMENT
122,Guyana,682,MEDIUM HUMAN DEVELOPMENT
123,Iraq,674,MEDIUM HUMAN DEVELOPMENT
124,El Salvador,673,MEDIUM HUMAN DEVELOPMENT
