,Sector,intersection,health,climate
0,Aerospace & Defense,4.0,60.0,42.75
1,Alternative Energy,1.5,25.25,62.5
2,Automobiles & Parts,2.67,85.67,60.67
3,Banks,0.17,18.67,25.0
4,Beverages,2.0,53.5,47.25
5,Chemicals,2.33,78.33,23.0
6,Construction & Materials,3.21,47.79,39.07
7,Diversified,0.89,32.11,12.22
8,Electricity,0.0,1.0,4.0
9,Electronic & Electrical Equ...,2.8,16.0,11.4
10,Equity Investment Instruments,9.33,64.33,49.33
11,Financial Services,1.78,42.94,38.28
12,Fixed Line Telecommunications,1.0,20.0,11.0
13,Food & Drug Retailers,0.0,6.5,5.75
14,Food Producers,4.0,126.5,51.5
15,Forestry & Paper,3.5,56.5,59.5
16,General Industrials,1.94,30.41,18.65
17,General Retailers,1.67,8.5,6.17
18,Health Care Equipment & Ser...,5.33,209.0,11.0
19,Household Goods & Home Cons...,0.4,28.0,21.0
20,Industrial Engineering,5.25,40.0,35.38
21,Industrial Metals & Mining,1.0,56.5,56.5
22,Industrial Transportation,0.71,10.43,9.29
23,Life Insurance,3.5,89.5,26.0
24,Media,1.33,29.0,17.0
25,Mobile Telecommunications,0.25,24.25,14.75
26,Nonlife Insurance,6.0,88.0,44.0
27,Oil & Gas Producers,1.0,24.25,36.25
28,"Oil Equipment, Services & D...",0.0,54.0,57.0
29,Personal Goods,0.4,27.2,16.0
30,Pharmaceuticals & Biotechno...,2.8,63.6,12.6
31,Real Estate Investment & Se...,2.05,40.05,35.77
32,Software & Computer Services,0.36,12.45,7.18
33,Support Services,1.47,16.95,11.68
34,Technology Hardware & Equip...,1.25,25.5,16.62
35,Travel & Leisure,2.6,50.4,35.4
