,Sector,intersection,climate,health
0,Alternative Energy,0.0,15.0,0.0
1,Automobiles & Parts,0.0,11.0,27.0
2,Banks,5.0,18.0,29.0
3,Beverages,0.0,12.0,25.0
4,Chemicals,26.0,138.0,351.0
5,Construction & Materials,48.0,354.0,781.0
6,Diversified,0.0,3.0,31.0
7,Electricity,43.0,586.0,848.0
8,Electronic & Electrical Equ...,0.0,14.0,69.0
9,Financial Services,8.0,61.0,163.0
10,Food Producers,0.0,8.0,38.0
11,General Industrials,121.0,1660.0,3089.0
12,Health Care Equipment & Ser...,0.0,0.0,8.0
13,Household Goods & Home Cons...,0.0,5.0,18.0
14,Industrial Engineering,4.0,75.0,90.0
15,Industrial Metals & Mining,29.0,259.0,1344.0
16,Industrial Transportation,0.0,16.0,64.0
17,Media,0.0,168.0,120.0
18,Mining,26.0,302.0,1147.0
19,Mobile Telecommunications,1.0,15.0,9.0
20,Not Applicable,0.0,2.0,36.0
21,Oil & Gas Producers,161.0,1576.0,2687.0
22,Personal Goods,0.0,25.0,113.0
23,Pharmaceuticals & Biotechno...,50.0,268.0,935.0
24,Software & Computer Services,120.0,1067.0,2135.0
25,Support Services,55.0,277.0,523.0
26,Technology Hardware & Equip...,1.0,8.0,20.0
27,Travel & Leisure,1.0,70.0,76.0
