,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,0.0,4.0,17.0,21.0
1,Very High,2012,0.0,15.0,30.0,45.0
2,Very High,2013,1.0,12.0,33.0,46.0
3,Very High,2014,2.0,22.0,30.0,54.0
4,Very High,2015,1.0,11.0,56.0,68.0
5,Very High,2016,1.0,36.0,40.0,77.0
6,Very High,2017,6.0,90.0,122.0,218.0
7,Very High,2018,2.0,119.0,187.0,308.0
8,Very High,2019,0.0,64.0,63.0,127.0
9,Very High,2020,9.0,89.0,203.0,301.0
10,Very High,2021,10.0,154.0,328.0,492.0
11,Very High,2022,8.0,142.0,159.0,309.0
