,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,0.0,92.0,57.0,149.0
1,Very High,2012,4.0,163.0,122.0,289.0
2,Very High,2013,1.0,136.0,134.0,271.0
3,Very High,2014,3.0,113.0,167.0,283.0
4,Very High,2015,8.0,124.0,199.0,331.0
5,Very High,2016,8.0,130.0,191.0,329.0
6,Very High,2017,9.0,119.0,154.0,282.0
7,Very High,2018,15.0,163.0,312.0,490.0
8,Very High,2019,24.0,166.0,342.0,532.0
9,Very High,2020,24.0,154.0,360.0,538.0
10,Very High,2021,50.0,363.0,1176.0,1589.0
11,Very High,2022,101.0,788.0,2004.0,2893.0
