,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.0,1.0,0.0,2021
1,Alternative Energy,0.25,0.25,0.25,2021
2,Automobiles & Parts,1.0,1.0,1.0,2021
3,Banks,1.0,1.0,1.0,2021
4,Beverages,0.0,0.0,0.0,2021
5,Diversified,0.0,1.0,0.0,2021
6,Food Producers,0.67,1.0,0.67,2021
7,Forestry & Paper,1.0,1.0,0.57,2021
8,General Industrials,0.0,0.0,0.0,2021
9,General Retailers,0.75,1.0,0.17,2021
10,Pharmaceuticals & Biotechno...,1.0,1.0,1.0,2021
11,Support Services,0.83,0.83,0.0,2021
12,Technology Hardware & Equip...,1.0,1.0,0.2,2021
