,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011,0.0,18.0,198.0,216.0,Health Care Equipment & Ser...
1,Very High,2012,0.0,15.0,114.0,129.0,Health Care Equipment & Ser...
2,Very High,2013,24.0,84.0,427.0,535.0,Health Care Equipment & Ser...
3,Very High,2014,10.0,33.0,336.0,379.0,Health Care Equipment & Ser...
4,Very High,2015,9.0,35.0,334.0,378.0,Health Care Equipment & Ser...
5,Very High,2016,13.0,24.0,251.0,288.0,Health Care Equipment & Ser...
6,Very High,2017,2.0,37.0,266.0,305.0,Health Care Equipment & Ser...
7,Very High,2018,1.0,65.0,572.0,638.0,Health Care Equipment & Ser...
8,Very High,2019,3.0,13.0,460.0,476.0,Health Care Equipment & Ser...
9,Very High,2020,8.0,62.0,548.0,618.0,Health Care Equipment & Ser...
10,Very High,2021,13.0,81.0,544.0,638.0,Health Care Equipment & Ser...
11,Very High,2022,39.0,187.0,769.0,995.0,Health Care Equipment & Ser...
