,Year,intersection,health,climate
0,2011,0.0,21.5,1.25
1,2012,0.15384615384615385,24.307692307692307,4.615384615384615
2,2013,0.4444444444444444,34.0,8.222222222222221
3,2014,0.14285714285714285,31.285714285714285,4.714285714285714
4,2015,1.0,50.166666666666664,6.833333333333333
5,2016,0.75,52.25,5.25
6,2017,1.3333333333333333,84.66666666666667,15.666666666666666
7,2018,1.75,59.25,11.0
8,2019,2.125,92.125,25.125
9,2020,4.1,86.4,35.7
10,2021,6.944444444444445,124.22222222222223,63.5
11,2022,2.2,64.93333333333334,45.93333333333333
