,Sector,intersection,climate,health
0,Banks,1.0,104.0,320.0
1,Beverages,2.0,5.0,17.0
2,Chemicals,0.0,0.0,10.0
3,Construction & Materials,9.0,79.0,380.0
4,Diversified,0.0,12.0,8.0
5,Electricity,9.0,185.0,242.0
6,Electronic & Electrical Equ...,0.0,0.0,11.0
7,Equity Investment Instruments,1.0,27.0,352.0
8,Financial Services,2.0,6.0,39.0
9,Food & Drug Retailers,15.0,190.0,344.0
10,Forestry & Paper,5.0,84.0,102.0
11,"Gas, Water & Multiutilities",1.0,31.0,361.0
12,General Industrials,0.0,1.0,42.0
13,Health Care Equipment & Ser...,3.0,3.0,235.0
14,Industrial Metals & Mining,76.0,768.0,2183.0
15,Industrial Transportation,14.0,69.0,335.0
16,Media,1.0,1.0,2.0
17,Mining,55.0,382.0,598.0
18,Not Applicable,0.0,0.0,3.0
19,Oil & Gas Producers,47.0,816.0,1164.0
20,Real Estate Investment & Se...,1.0,1.0,4.0
21,Real Estate Investment Trusts,5.0,15.0,100.0
22,Support Services,3.0,4.0,350.0
