,Sector,intersection,climate,health
0,Alternative Energy,2.0,29.0,16.0
1,Banks,22.0,273.0,158.0
2,Beverages,4.0,21.0,122.0
3,Construction & Materials,2.0,51.0,336.0
4,Electricity,0.0,10.0,18.0
5,Financial Services,21.0,175.0,498.0
6,Food & Drug Retailers,0.0,0.0,30.0
7,Food Producers,7.0,27.0,267.0
8,General Industrials,2.0,36.0,259.0
9,Health Care Equipment & Ser...,0.0,0.0,102.0
10,Industrial Transportation,3.0,3.0,142.0
11,Media,0.0,3.0,11.0
12,Mining,0.0,0.0,19.0
13,Not Applicable,0.0,2.0,26.0
14,Oil & Gas Producers,0.0,11.0,58.0
15,Real Estate Investment & Se...,5.0,59.0,239.0
16,Support Services,0.0,32.0,28.0
17,Travel & Leisure,0.0,3.0,102.0
