,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,0.0,5.0,86.0,91.0
1,1,Europe,2012,2.0,60.0,316.0,378.0
2,2,Europe,2013,4.0,74.0,306.0,384.0
3,3,Europe,2014,1.0,33.0,219.0,253.0
4,4,Europe,2015,6.0,41.0,301.0,348.0
5,5,Europe,2016,6.0,42.0,418.0,466.0
6,6,Europe,2017,8.0,94.0,508.0,610.0
7,7,Europe,2018,7.0,44.0,237.0,288.0
8,8,Europe,2019,17.0,201.0,737.0,955.0
9,9,Europe,2020,41.0,357.0,864.0,1262.0
10,10,Europe,2021,125.0,1143.0,2236.0,3504.0
11,11,Europe,2022,33.0,689.0,974.0,1696.0
