Year,total_speeches,total_sentences,total_words
1970,70,11841,304290
1971,116,19892,508823
1972,125,21208,541279
1973,120,21452,536685
1974,129,22051,569216
1975,126,21379,534621
1976,134,23827,600415
1977,140,24822,606142
1978,141,25267,625725
1979,144,26501,652551
1980,149,27223,657862
1981,145,26097,633723
1982,147,23438,638526
1983,149,26780,641172
1984,150,27982,660963
1985,137,19265,592782
1986,149,19041,577652
1987,152,18346,563107
1988,154,18604,569545
1989,153,19444,574455
1990,156,17893,522230
1991,162,18553,538391
1992,167,18594,543162
1993,175,20165,587786
1994,178,19946,580989
1995,172,17872,537258
1996,181,18058,523208
1997,176,17709,515090
1998,181,18888,515338
1999,181,18541,531704
2000,178,16262,464742
2001,189,14753,415053
2002,188,13985,380817
2003,189,14737,399773
2004,192,14904,405687
2005,185,13016,353420
2006,193,14647,390874
2007,191,14585,388214
2008,192,14298,385176
2009,193,16038,423681
2010,189,14438,392266
2011,194,16295,430321
2012,195,16842,444763
2013,193,16398,441245
2014,194,15865,422284
2015,193,16134,436593
2016,194,16001,420489
2017,196,16814,439993
2018,196,16987,455558
