,Sector,Climate,Health,Intersection,Year
0,Beverages,0.5,1.0,0.0,2022
1,Construction & Materials,1.0,1.0,0.5,2022
2,Diversified,0.4,0.6,0.2,2022
3,Financial Services,0.38,0.69,0.0,2022
4,Food Producers,0.5,1.0,0.5,2022
5,Forestry & Paper,1.0,1.0,0.0,2022
6,Household Goods & Home Cons...,0.0,1.0,0.0,2022
7,Industrial Metals & Mining,0.5,0.77,0.04,2022
8,Not Applicable,0.0,1.0,0.0,2022
9,Oil & Gas Producers,0.0,1.0,0.0,2022
10,Software & Computer Services,0.0,0.67,0.0,2022
11,Technology Hardware & Equip...,0.0,1.0,0.0,2022
