,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Northern America,2011,120.0,1323.0,2968.0,4411.0
1,1,Northern America,2012,98.0,1440.0,3042.0,4580.0
2,2,Northern America,2013,129.0,1318.0,3871.0,5318.0
3,3,Northern America,2014,118.0,1576.0,5633.0,7327.0
4,4,Northern America,2015,236.0,1923.0,6999.0,9158.0
5,5,Northern America,2016,270.0,2049.0,6559.0,8878.0
6,6,Northern America,2017,256.0,2032.0,6095.0,8383.0
7,7,Northern America,2018,212.0,1915.0,5623.0,7750.0
8,8,Northern America,2019,249.0,2482.0,4916.0,7647.0
9,9,Northern America,2020,325.0,3242.0,5809.0,9376.0
10,10,Northern America,2021,918.0,5845.0,13351.0,20114.0
11,11,Northern America,2022,1070.0,8869.0,11653.0,21592.0
