,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,72.0,2226.0,1615.0,3913.0
1,Western Pacific,2012,101.0,2848.0,2450.0,5399.0
2,Western Pacific,2013,159.0,2143.0,2255.0,4557.0
3,Western Pacific,2014,160.0,1976.0,2570.0,4706.0
4,Western Pacific,2015,87.0,1699.0,2002.0,3788.0
5,Western Pacific,2016,94.0,1310.0,1682.0,3086.0
6,Western Pacific,2017,122.0,1954.0,2467.0,4543.0
7,Western Pacific,2018,55.0,1091.0,1532.0,2678.0
8,Western Pacific,2019,146.0,1258.0,1499.0,2903.0
9,Western Pacific,2020,111.0,1364.0,1604.0,3079.0
10,Western Pacific,2021,373.0,3922.0,4372.0,8667.0
11,Western Pacific,2022,425.0,6757.0,5569.0,12751.0
