,Sector,intersection,climate,health
0,Aerospace & Defense,8.0,153.0,125.0
1,Automobiles & Parts,148.0,2154.0,2063.0
2,Banks,23.0,658.0,269.0
3,Beverages,2.0,36.0,45.0
4,Chemicals,240.0,1977.0,2597.0
5,Construction & Materials,55.0,928.0,1380.0
6,Diversified,120.0,2128.0,1686.0
7,Electricity,54.0,1481.0,606.0
8,Electronic & Electrical Equ...,26.0,291.0,260.0
9,Financial Services,69.0,2095.0,1139.0
10,Fixed Line Telecommunications,21.0,545.0,643.0
11,Food Producers,47.0,463.0,1042.0
12,"Gas, Water & Multiutilities",79.0,2799.0,1075.0
13,General Industrials,135.0,1419.0,1878.0
14,General Retailers,38.0,547.0,683.0
15,Health Care Equipment & Ser...,26.0,92.0,494.0
16,Household Goods & Home Cons...,77.0,1139.0,1316.0
17,Industrial Engineering,181.0,1321.0,1960.0
18,Industrial Metals & Mining,26.0,690.0,692.0
19,Industrial Transportation,76.0,503.0,587.0
20,Leisure Goods,13.0,420.0,402.0
21,Life Insurance,22.0,436.0,949.0
22,Media,7.0,49.0,179.0
23,Mobile Telecommunications,2.0,20.0,18.0
24,Nonlife Insurance,4.0,149.0,184.0
25,Not Applicable,51.0,1773.0,1909.0
26,Oil & Gas Producers,177.0,1765.0,1865.0
27,Personal Goods,17.0,101.0,194.0
28,Pharmaceuticals & Biotechno...,14.0,37.0,236.0
29,Real Estate Investment & Se...,23.0,654.0,392.0
30,Software & Computer Services,10.0,169.0,192.0
31,Support Services,39.0,538.0,1032.0
32,Technology Hardware & Equip...,40.0,436.0,647.0
33,Travel & Leisure,35.0,582.0,878.0
