,Sector,intersection,health,climate
0,Automobiles & Parts,11.4,83.4,100.6
1,Banks,1.67,15.33,50.67
2,Beverages,0.0,0.0,0.0
3,Chemicals,8.71,112.14,96.0
4,Construction & Materials,0.5,22.33,12.67
5,Diversified,9.5,98.0,57.75
6,Electricity,5.0,78.0,154.0
7,Electronic & Electrical Equ...,1.0,3.0,7.0
8,Financial Services,1.36,18.55,25.55
9,Food Producers,1.5,54.0,33.5
10,"Gas, Water & Multiutilities",4.0,38.0,112.0
11,General Industrials,1.2,25.0,16.4
12,General Retailers,0.0,5.0,1.33
13,Health Care Equipment & Ser...,0.0,1.0,1.0
14,Household Goods & Home Cons...,4.5,59.0,39.5
15,Industrial Engineering,18.5,135.5,105.0
16,Industrial Metals & Mining,4.5,71.0,93.0
17,Industrial Transportation,29.0,96.0,73.5
18,Leisure Goods,5.0,81.0,165.0
19,Life Insurance,4.5,128.5,68.0
20,Media,0.0,0.0,0.0
21,Oil & Gas Producers,0.6,29.6,37.0
22,Personal Goods,2.0,4.0,2.0
23,Software & Computer Services,0.0,21.0,14.67
24,Support Services,0.5,23.12,4.25
25,Technology Hardware & Equip...,10.5,164.5,103.5
26,Travel & Leisure,6.0,55.5,51.5
