,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,25.0,408.0,459.0,892.0
1,Very High,2012,10.0,453.0,387.0,850.0
2,Very High,2013,30.0,326.0,372.0,728.0
3,Very High,2014,10.0,210.0,313.0,533.0
4,Very High,2015,20.0,273.0,475.0,768.0
5,Very High,2016,29.0,456.0,727.0,1212.0
6,Very High,2017,52.0,786.0,739.0,1577.0
7,Very High,2018,90.0,961.0,941.0,1992.0
8,Very High,2019,93.0,1602.0,1485.0,3180.0
9,Very High,2020,164.0,1499.0,2045.0,3708.0
10,Very High,2021,220.0,2501.0,3019.0,5740.0
11,Very High,2022,232.0,2910.0,2890.0,6032.0
