Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,1052,753,872,272,0.72,0.83,0.26
2012,1422,957,1159,320,0.67,0.82,0.23
2013,1597,1006,1293,309,0.63,0.81,0.19
2014,1721,1066,1372,336,0.62,0.8,0.2
2015,1812,1128,1467,382,0.62,0.81,0.21
2016,1974,1203,1556,414,0.61,0.79,0.21
2017,2006,1290,1594,455,0.64,0.79,0.23
2018,2035,1329,1637,518,0.65,0.8,0.25
2019,2240,1508,1863,604,0.67,0.83,0.27
2020,2062,1512,1745,746,0.73,0.85,0.36
2021,3104,2310,2649,1409,0.74,0.85,0.45
