,Year,SIDS,Climate,Health,Intersection
22,2018,SIDS,1.0,1.0,0.0
26,2019,SIDS,1.0,1.0,1.0
1,2011,Tier 1,0.71,1.0,0.0
4,2012,Tier 1,0.38,0.92,0.08
7,2013,Tier 1,0.22,0.83,0.0
10,2014,Tier 1,0.3,0.8,0.1
13,2015,Tier 1,0.47,1.0,0.13
16,2016,Tier 1,0.3,0.75,0.05
19,2017,Tier 1,0.5,0.95,0.05
23,2018,Tier 1,0.68,0.95,0.36
27,2019,Tier 1,0.72,1.0,0.32
30,2020,Tier 1,0.65,0.88,0.32
33,2021,Tier 1,0.85,0.98,0.53
2,2011,Tier 2,0.0,1.0,0.0
5,2012,Tier 2,0.5,0.5,0.5
8,2013,Tier 2,0.33,0.33,0.0
11,2014,Tier 2,0.0,0.5,0.0
14,2015,Tier 2,0.33,0.5,0.0
17,2016,Tier 2,0.0,0.0,0.0
20,2017,Tier 2,0.0,0.0,0.0
24,2018,Tier 2,1.0,0.67,0.33
28,2019,Tier 2,1.0,1.0,0.33
31,2020,Tier 2,1.0,1.0,0.33
34,2021,Tier 2,0.43,0.71,0.43
