,Sector,intersection,health,climate
0,Banks,4.5,42.38,41.62
1,Beverages,7.5,66.5,30.0
2,Chemicals,0.0,29.0,0.0
3,Construction & Materials,7.0,88.0,56.0
4,Diversified,1.43,27.14,13.0
5,Electricity,3.5,64.5,100.5
6,Electronic & Electrical Equ...,1.25,37.5,14.75
7,Financial Services,0.0,87.5,49.5
8,Food Producers,0.0,3.0,2.0
9,Forestry & Paper,6.0,145.0,46.0
10,General Industrials,1.2,34.4,22.6
11,Industrial Engineering,2.33,54.67,19.0
12,Industrial Metals & Mining,3.5,64.5,39.0
13,Industrial Transportation,5.0,138.0,163.0
14,Life Insurance,0.0,0.0,0.0
15,Nonlife Insurance,1.0,71.0,42.0
16,Oil & Gas Producers,11.0,125.5,109.5
17,Personal Goods,2.5,77.5,24.0
18,Pharmaceuticals & Biotechno...,11.0,192.0,19.0
19,Software & Computer Services,4.0,23.5,40.5
20,Support Services,0.0,32.5,1.5
