,Sector,intersection,climate,health
0,Alternative Energy,1.0,7.0,18.0
1,Automobiles & Parts,29.0,531.0,1115.0
2,Banks,158.0,2403.0,1155.0
3,Beverages,40.0,684.0,918.0
4,Chemicals,60.0,412.0,1220.0
5,Construction & Materials,39.0,347.0,1221.0
6,Diversified,271.0,2452.0,2880.0
7,Electricity,106.0,858.0,670.0
8,Electronic & Electrical Equ...,16.0,467.0,773.0
9,Financial Services,0.0,8.0,35.0
10,Fixed Line Telecommunications,5.0,38.0,92.0
11,Food Producers,89.0,781.0,1792.0
12,General Industrials,150.0,1557.0,2727.0
13,General Retailers,16.0,120.0,313.0
14,Health Care Equipment & Ser...,0.0,2.0,26.0
15,Household Goods & Home Cons...,0.0,4.0,25.0
16,Industrial Engineering,0.0,0.0,10.0
17,Industrial Metals & Mining,82.0,328.0,470.0
18,Industrial Transportation,8.0,160.0,354.0
19,Life Insurance,7.0,57.0,193.0
20,Media,0.0,107.0,191.0
21,Mining,20.0,114.0,195.0
22,Mobile Telecommunications,50.0,538.0,657.0
23,Nonlife Insurance,67.0,244.0,349.0
24,Not Applicable,0.0,55.0,83.0
25,Oil & Gas Producers,29.0,340.0,890.0
26,Personal Goods,1.0,56.0,633.0
27,Pharmaceuticals & Biotechno...,72.0,479.0,4360.0
28,Real Estate Investment & Se...,0.0,3.0,37.0
29,Real Estate Investment Trusts,2.0,8.0,62.0
30,Software & Computer Services,11.0,87.0,254.0
31,Support Services,26.0,251.0,524.0
32,Travel & Leisure,0.0,15.0,33.0
