,Sector,intersection,health,climate
0,Alternative Energy,1.0,18.0,7.0
1,Automobiles & Parts,1.0,34.0,10.5
2,Banks,16.0,107.0,122.75
3,Beverages,1.0,63.0,28.0
4,Chemicals,2.0,32.57,17.29
5,Construction & Materials,1.0,35.5,5.5
6,Diversified,7.73,47.64,39.36
7,Electricity,8.8,61.2,68.4
8,Electronic & Electrical Equ...,2.5,85.5,78.0
9,Fixed Line Telecommunications,2.0,50.0,10.0
10,Food Producers,2.71,58.29,21.29
11,General Industrials,3.55,48.45,20.18
12,General Retailers,3.5,72.5,20.5
13,Industrial Engineering,0.0,6.0,0.0
14,Industrial Metals & Mining,26.0,97.0,69.0
15,Industrial Transportation,1.0,43.0,12.5
16,Mining,6.5,68.5,37.0
17,Mobile Telecommunications,11.0,67.0,79.0
18,Nonlife Insurance,30.0,120.0,70.0
19,Oil & Gas Producers,0.5,32.0,4.5
20,Personal Goods,0.33,59.33,2.33
21,Pharmaceuticals & Biotechno...,5.5,133.67,18.0
22,Real Estate Investment Trusts,2.0,62.0,8.0
23,Software & Computer Services,1.2,26.6,7.8
24,Support Services,1.0,22.5,11.25
