,Sector,intersection,climate,health
0,Aerospace & Defense,4.0,22.0,171.0
1,Alternative Energy,7.0,116.0,114.0
2,Automobiles & Parts,0.0,38.0,74.0
3,Banks,4.0,163.0,117.0
4,Beverages,20.0,228.0,152.0
5,Chemicals,62.0,396.0,519.0
6,Construction & Materials,8.0,204.0,134.0
7,Diversified,47.0,421.0,312.0
8,Electricity,89.0,1527.0,1131.0
9,Electronic & Electrical Equ...,5.0,29.0,72.0
10,Equity Investment Instruments,23.0,288.0,89.0
11,Financial Services,13.0,265.0,763.0
12,Food Producers,39.0,317.0,1000.0
13,Forestry & Paper,0.0,6.0,8.0
14,General Industrials,79.0,573.0,1426.0
15,Health Care Equipment & Ser...,2.0,48.0,411.0
16,Industrial Engineering,7.0,24.0,42.0
17,Industrial Transportation,41.0,517.0,784.0
18,Leisure Goods,0.0,30.0,5.0
19,Media,15.0,118.0,188.0
20,Mobile Telecommunications,0.0,3.0,0.0
21,Nonlife Insurance,2.0,30.0,40.0
22,Not Applicable,0.0,0.0,2.0
23,"Oil Equipment, Services & D...",36.0,359.0,930.0
24,Pharmaceuticals & Biotechno...,13.0,22.0,174.0
25,Real Estate Investment & Se...,4.0,55.0,160.0
26,Software & Computer Services,7.0,195.0,107.0
27,Support Services,55.0,492.0,725.0
28,Technology Hardware & Equip...,40.0,573.0,496.0
29,Travel & Leisure,21.0,515.0,415.0
