,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.38,0.88,0.12,2022
1,Alternative Energy,0.88,1.0,0.25,2022
2,Automobiles & Parts,1.0,0.5,0.0,2022
3,Banks,0.67,0.58,0.08,2022
4,Beverages,1.0,1.0,0.33,2022
5,Chemicals,0.95,0.95,0.58,2022
6,Construction & Materials,0.35,0.6,0.15,2022
7,Diversified,0.85,0.85,0.33,2022
8,Electricity,0.96,0.96,0.79,2022
9,Electronic & Electrical Equ...,0.67,1.0,0.67,2022
10,Equity Investment Instruments,0.56,0.44,0.44,2022
11,Financial Services,0.79,0.74,0.26,2022
12,Food Producers,0.67,0.9,0.47,2022
13,Forestry & Paper,0.86,0.86,0.0,2022
14,General Industrials,0.74,0.89,0.38,2022
15,Health Care Equipment & Ser...,0.38,1.0,0.12,2022
16,Industrial Engineering,1.0,0.67,0.67,2022
17,Industrial Transportation,0.88,0.9,0.29,2022
18,Leisure Goods,0.55,0.27,0.0,2022
19,Media,0.8,0.8,0.5,2022
20,Mobile Telecommunications,1.0,0.0,0.0,2022
21,Nonlife Insurance,1.0,1.0,0.5,2022
22,Not Applicable,0.0,1.0,0.0,2022
23,"Oil Equipment, Services & D...",0.7,0.72,0.2,2022
24,Pharmaceuticals & Biotechno...,1.0,1.0,0.67,2022
25,Real Estate Investment & Se...,0.94,1.0,0.12,2022
26,Software & Computer Services,0.84,0.84,0.16,2022
27,Support Services,0.73,0.87,0.37,2022
28,Technology Hardware & Equip...,0.76,0.86,0.32,2022
29,Travel & Leisure,0.85,1.0,0.46,2022
