,SIDS,Year,intersection,climate,health,sum
12,Tier 1,2011,503.0,7984.0,17024.0,25511.0
13,Tier 1,2012,514.0,9141.0,21176.0,30831.0
14,Tier 1,2013,590.0,9557.0,21534.0,31681.0
15,Tier 1,2014,548.0,10205.0,22983.0,33736.0
16,Tier 1,2015,548.0,9630.0,22794.0,32972.0
17,Tier 1,2016,672.0,10652.0,24141.0,35465.0
18,Tier 1,2017,824.0,11245.0,25559.0,37628.0
19,Tier 1,2018,794.0,11690.0,29068.0,41552.0
20,Tier 1,2019,1053.0,15336.0,33070.0,49459.0
21,Tier 1,2020,1357.0,19218.0,36348.0,56923.0
22,Tier 1,2021,3954.0,35850.0,86593.0,126397.0
23,Tier 1,2022,4481.0,51202.0,88596.0,144279.0
