,Year,HDI Level (2021),Climate,Health,Intersection
2,2013,High,1.0,1.0,0.0
4,2014,High,0.0,1.0,0.0
6,2015,High,1.0,1.0,0.0
8,2016,High,0.0,1.0,0.0
0,2011,Very High,0.36,0.93,0.0
1,2012,Very High,0.34,0.93,0.03
3,2013,Very High,0.25,0.94,0.0
5,2014,Very High,0.39,0.92,0.06
7,2015,Very High,0.51,0.97,0.11
9,2016,Very High,0.39,0.91,0.05
10,2017,Very High,0.51,0.96,0.1
11,2018,Very High,0.61,0.98,0.22
12,2019,Very High,0.62,0.95,0.26
13,2020,Very High,0.64,0.87,0.34
14,2021,Very High,0.81,0.97,0.38
15,2022,Very High,0.79,0.93,0.41
