,Year,intersection,health,climate
0,2011,2.3529411764705883,27.176470588235293,18.470588235294116
1,2012,0.4666666666666667,24.066666666666666,7.266666666666667
2,2013,1.8,50.95,18.6
3,2014,1.08,36.48,17.24
4,2015,1.16,50.76,22.0
5,2016,1.1785714285714286,46.42857142857143,19.821428571428573
6,2017,1.7727272727272727,42.0,17.045454545454547
7,2018,0.6111111111111112,24.0,10.722222222222221
8,2019,1.4545454545454546,27.136363636363637,14.363636363636363
9,2020,1.3571428571428572,34.642857142857146,23.428571428571427
10,2021,3.12,34.68,29.6
11,2022,1.65,26.55,24.6
