,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011,39.0,565.0,2184.0,2788.0
1,High,2012,39.0,855.0,3081.0,3975.0
2,High,2013,43.0,574.0,2663.0,3280.0
3,High,2014,37.0,503.0,1773.0,2313.0
4,High,2015,13.0,420.0,1961.0,2394.0
5,High,2016,29.0,633.0,2226.0,2888.0
6,High,2017,21.0,593.0,2050.0,2664.0
7,High,2018,82.0,838.0,2635.0,3555.0
8,High,2019,43.0,737.0,3235.0,4015.0
9,High,2020,69.0,999.0,2993.0,4061.0
10,High,2021,281.0,2157.0,8465.0,10903.0
11,High,2022,345.0,2857.0,8397.0,11599.0
