,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.0,1.0,0.0
1,2012,South and Central America,0.47,0.94,0.12
2,2013,South and Central America,0.29,0.79,0.07
3,2014,South and Central America,0.5,0.75,0.0
4,2015,South and Central America,0.3,0.7,0.1
5,2016,South and Central America,0.33,0.83,0.25
6,2017,South and Central America,0.5,0.83,0.17
7,2018,South and Central America,0.62,0.92,0.23
8,2019,South and Central America,0.5,1.0,0.17
9,2020,South and Central America,0.36,1.0,0.0
10,2021,South and Central America,0.21,0.79,0.11
11,2022,South and Central America,0.6,0.95,0.45
