,Year,intersection,health,climate
0,2011,0.0,24.0,0.0
1,2012,0.29411764705882354,44.88235294117647,1.7647058823529411
2,2013,0.35714285714285715,47.714285714285715,0.5714285714285714
3,2014,0.0,11.5,0.75
4,2015,0.1,46.3,0.9
5,2016,0.25,46.833333333333336,0.5833333333333334
6,2017,0.3333333333333333,42.5,1.0833333333333333
7,2018,0.9230769230769231,51.46153846153846,1.6153846153846154
8,2019,0.16666666666666666,84.25,1.25
9,2020,0.0,58.81818181818182,0.6363636363636364
10,2021,1.0526315789473684,63.26315789473684,3.1052631578947367
11,2022,4.7,88.1,7.0
