,Sector,intersection,health,climate
0,Alternative Energy,3.0,21.0,70.0
1,Banks,3.0,48.0,65.0
2,Beverages,0.0,1.0,1.0
3,Chemicals,0.0,1.0,0.0
4,Construction & Materials,1.0,19.2,5.0
5,Diversified,3.0,30.0,4.0
6,Equity Investment Instruments,3.0,9.0,28.0
7,Financial Services,1.4,12.0,32.2
8,Food & Drug Retailers,2.5,79.5,50.5
9,Food Producers,2.67,48.0,38.33
10,"Gas, Water & Multiutilities",6.0,66.5,80.0
11,General Industrials,1.0,11.88,7.5
12,General Retailers,0.0,5.33,5.33
13,Health Care Equipment & Ser...,23.5,119.5,31.0
14,Industrial Metals & Mining,1.0,5.0,4.0
15,Industrial Transportation,10.0,79.0,100.0
16,Media,0.0,5.0,6.0
17,Mining,5.38,108.38,118.62
18,Mobile Telecommunications,1.0,24.0,31.0
19,Nonlife Insurance,0.0,0.0,6.0
20,Oil & Gas Producers,0.0,3.0,2.0
21,"Oil Equipment, Services & D...",4.0,13.0,103.0
22,Personal Goods,0.0,31.5,9.0
23,Real Estate Investment & Se...,6.0,77.0,97.0
24,Real Estate Investment Trusts,7.33,40.0,45.33
25,Software & Computer Services,0.0,4.5,1.0
26,Support Services,0.73,17.36,11.64
27,Travel & Leisure,4.0,70.0,98.0
