,Sector,intersection,health,climate
0,Alternative Energy,2.29,29.0,31.71
1,Automobiles & Parts,3.0,19.8,17.6
2,Chemicals,0.33,8.78,4.44
3,Diversified,2.29,40.71,54.57
4,Electricity,0.0,10.5,8.0
5,Electronic & Electrical Equ...,0.5,8.75,13.0
6,Financial Services,8.0,130.8,57.2
7,Fixed Line Telecommunications,1.0,123.0,71.0
8,Food & Drug Retailers,6.0,322.0,49.0
9,Food Producers,15.5,204.5,67.5
10,Forestry & Paper,1.0,19.0,32.0
11,General Industrials,0.46,19.69,12.54
12,General Retailers,6.0,102.0,105.0
13,Health Care Equipment & Ser...,0.5,38.0,6.5
14,Household Goods & Home Cons...,0.0,6.0,2.0
15,Industrial Engineering,0.5,2.5,0.5
16,Industrial Metals & Mining,2.0,52.5,10.5
17,Industrial Transportation,3.25,14.25,18.75
18,Leisure Goods,3.0,53.0,51.0
19,Life Insurance,270.0,414.0,263.0
20,Media,0.0,0.0,0.0
21,Mobile Telecommunications,2.17,66.83,42.17
22,Oil & Gas Producers,2.67,54.33,46.33
23,Personal Goods,0.38,8.38,6.75
24,Pharmaceuticals & Biotechno...,0.0,0.0,2.5
25,Real Estate Investment & Se...,7.0,28.0,138.0
26,Software & Computer Services,0.0,3.0,0.0
27,Support Services,1.0,11.3,16.6
28,Technology Hardware & Equip...,0.0,4.0,1.0
29,Travel & Leisure,1.0,32.0,10.33
