,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.0,2021
1,Beverages,0.17,1.0,0.17,2021
2,Electricity,0.94,0.94,0.18,2021
3,Electronic & Electrical Equ...,0.0,1.0,0.0,2021
4,Financial Services,0.86,0.86,0.03,2021
5,Fixed Line Telecommunications,0.5,0.67,0.0,2021
6,Food Producers,1.0,1.0,1.0,2021
7,"Gas, Water & Multiutilities",0.47,0.88,0.06,2021
8,General Industrials,0.46,0.88,0.08,2021
9,General Retailers,0.87,0.8,0.67,2021
10,Health Care Equipment & Ser...,0.4,1.0,0.0,2021
11,Industrial Transportation,0.7,0.8,0.4,2021
12,Media,0.0,0.83,0.0,2021
13,Mobile Telecommunications,1.0,1.0,0.0,2021
14,Not Applicable,0.0,1.0,0.0,2021
15,Real Estate Investment Trusts,1.0,1.0,0.0,2021
16,Software & Computer Services,0.0,1.0,0.0,2021
17,Support Services,0.17,0.83,0.04,2021
