,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,8.0,153.0,251.0,412.0
1,Very High,2012,8.0,114.0,201.0,323.0
2,Very High,2013,3.0,162.0,207.0,372.0
3,Very High,2014,4.0,132.0,210.0,346.0
4,Very High,2015,2.0,147.0,326.0,475.0
5,Very High,2016,6.0,157.0,302.0,465.0
6,Very High,2017,3.0,110.0,241.0,354.0
7,Very High,2018,3.0,61.0,248.0,312.0
8,Very High,2019,3.0,55.0,124.0,182.0
9,Very High,2020,3.0,48.0,128.0,179.0
10,Very High,2021,6.0,112.0,331.0,449.0
11,Very High,2022,14.0,274.0,496.0,784.0
